FIRM NAME;Special Rules;Do Accts Mirror Each Other (Like Titled)?;Is the Acct a Trust or is this a Rollover?;Does the Acct hold an annuity or insurance product?;OUTPUT (if firm and answers to questions meet rules)
Maxim Group;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
McDonald Investments;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
McLaughlin, Piven, Vogel Securities, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
MDB Capital Group, LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Merrill Lynch;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Mesirow;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Met Life SECURITIES;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
MF Global;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
MG Trust;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Mid Atlantic;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
ML Stern;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
MML Investors Service;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Moore & Cabot;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Morgan Keegan  -  ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Morgan Stanley & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Morgan Stanley Smith Barney;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
MTB Funds;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Multi-Financial Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Muriel Seibert & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
